hx200, time2, 115
hx200, ST_70, 115
hx200, T2_35, 115
hx200, time, 115
hx200, lat, 115
mf9701EPIC, S_41, 32
mf9701EPIC, dep, 36
mf9701EPIC, DYN_10, 34
mf9701EPIC, Fch_906, 36
mf9701EPIC, lon, 36
mf9701EPIC, T_28, 36
mf9701EPIC, time2, 36
mf9701EPIC, Irr_902, 35
mf9701EPIC, T2_35, 36
mf9701EPIC, time, 36
mf9701EPIC, lat, 36
mf9701EPIC, S3_44, 2
mf9701EPIC, ST_70, 34
mf9701EPIC, CA3_937, 36
mf9704EPIC, S_42, 72
mf9704EPIC, S_41, 125
mf9704EPIC, dep, 125
mf9704EPIC, DYN_10, 125
mf9704EPIC, Fch_906, 63
mf9704EPIC, PAR_905, 63
mf9704EPIC, lon, 125
mf9704EPIC, T_28, 125
mf9704EPIC, time2, 125
mf9704EPIC, ST_70, 125
mf9704EPIC, T2_35, 72
mf9704EPIC, time, 125
mf9704EPIC, lat, 125
mf9704EPIC, CA3_937, 63
mf9705a, S_42, 68
mf9705a, pressure, 1
mf9705a, dep, 67
mf9705a, DYN_10, 68
mf9705a, Fch_906, 59
mf9705a, PAR_905, 1
mf9705a, lon, 67
mf9705a, T_28, 68
mf9705a, time2, 68
mf9705a, ST_70, 68
mf9705a, Irr_902, 58
mf9705a, T2_35, 68
mf9705a, longitude, 1
mf9705a, time, 68
mf9705a, lat, 67
mf9705a, latitude, 1
mf9705a, CA3_937, 52
mf9705b, S_42, 94
mf9705b, S_41, 94
mf9705b, dep, 94
mf9705b, DYN_10, 94
mf9705b, Fch_906, 74
mf9705b, PAR_905, 76
mf9705b, lon, 94
mf9705b, T_28, 94
mf9705b, time2, 94
mf9705b, ST_70, 94
mf9705b, T2_35, 94
mf9705b, time, 94
mf9705b, lat, 94
mf9705b, CA3_937, 70
mf9706, S_42, 11
mf9706, S_41, 11
mf9706, dep, 11
mf9706, DYN_10, 11
mf9706, Fch_906, 7
mf9706, lon, 11
mf9706, T_28, 11
mf9706, time2, 11
mf9706, Irr_902, 7
mf9706, T2_35, 11
mf9706, time, 11
mf9706, lat, 11
mf9706, ST_70, 11
mf9706, CA3_937, 7
mf9709a, S_42, 33
mf9709a, S_41, 32
mf9709a, dep, 34
mf9709a, DYN_10, 34
mf9709a, Fch_906, 34
mf9709a, PAR_905, 34
mf9709a, lon, 34
mf9709a, T_28, 34
mf9709a, time2, 34
mf9709a, ST_70, 34
mf9709a, T2_35, 34
mf9709a, time, 34
mf9709a, lat, 34
mf9709a, CA3_937, 34
mf9709b, S_42, 49
mf9709b, S_41, 46
mf9709b, dep, 46
mf9709b, DYN_10, 49
mf9709b, Fch_906, 49
mf9709b, PAR_905, 49
mf9709b, lon, 46
mf9709b, T_28, 49
mf9709b, time2, 49
mf9709b, ST_70, 49
mf9709b, depth, 3
mf9709b, T2_35, 49
mf9709b, longitude, 3
mf9709b, time, 49
mf9709b, lat, 46
mf9709b, latitude, 3
mf9709b, CA3_937, 49
we9705b, S_42, 69
we9705b, S_41, 69
we9705b, dep, 70
we9705b, DYN_10, 69
we9705b, PT_30, 69
we9705b, lon, 70
we9705b, T_28, 70
we9705b, time2, 70
we9705b, ST_70, 69
we9705b, T2_35, 70
we9705b, time, 70
we9705b, lat, 70
we9706a, S_42, 12
we9706a, S_41, 12
we9706a, ST_70, 12
we9706a, DYN_10, 12
we9706a, PAR_905, 10
we9706a, lon, 12
we9706a, T_28, 12
we9706a, time2, 12
we9706a, pressure, 12
we9706a, T2_35, 12
we9706a, time, 12
we9706a, lat, 12
we9706b, S_42, 123
we9706b, S_41, 128
we9706b, ST_70, 128
we9706b, DYN_10, 128
we9706b, Fch_906, 132
we9706b, PAR_905, 57
we9706b, lon, 132
we9706b, T_28, 128
we9706b, time2, 132
we9706b, pressure, 132
we9706b, T2_35, 126
we9706b, time, 132
we9706b, lat, 132
we9706b, Tr_904, 132
we9706c, S_42, 89
we9706c, S_41, 90
we9706c, dep, 92
we9706c, DYN_10, 92
we9706c, lon, 92
we9706c, T_28, 92
we9706c, time2, 92
we9706c, ST_70, 92
we9706c, T2_35, 92
we9706c, time, 92
we9706c, lat, 92
hx209, S4_45, 251
hx209, T_20, 251
hx209, S_41, 251
hx209, ST_70, 251
hx209, longitude, 251
hx209, depth, 251
hx209, T2_35, 251
hx209, time2, 251
hx209, time, 251
hx209, latitude, 251
hx209, PAR_908, 251
hx209, Fvt_901, 251
hx213, time01, 21
hx213, S_42, 2
hx213, S_41, 130
hx213, time012, 21
hx213, lon, 130
hx213, T_28, 130
hx213, time2, 130
hx213, NN_185, 21
hx213, latitude, 21
hx213, NO2_184, 21
hx213, ST_70, 130
hx213, DYN_10, 130
hx213, Fch_906, 130
hx213, NH4_189, 21
hx213, PAR_905, 130
hx213, lat, 130
hx213, PO4_186, 21
hx213, SI_188, 21
hx213, dep, 130
hx213, NO3_182, 21
hx213, longitude, 21
hx213, depth, 21
hx213, T2_35, 129
hx213, time, 130
la9802, S_41, 48
la9802, dep, 47
la9802, DYN_10, 48
la9802, lon, 47
la9802, T_28, 48
la9802, time2, 48
la9802, ST_70, 48
la9802, longitude, 1
la9802, time, 48
la9802, lat, 47
la9802, pressure, 1
la9802, latitude, 1
mf9801, S_42, 39
mf9801, S_41, 39
mf9801, dep, 38
mf9801, DYN_10, 39
mf9801, PAR_905, 34
mf9801, lon, 38
mf9801, T_28, 40
mf9801, time2, 40
mf9801, ST_70, 39
mf9801, depth, 2
mf9801, T2_35, 40
mf9801, longitude, 2
mf9801, time, 40
mf9801, lat, 38
mf9801, latitude, 2
mf9801, CA3_937, 33
mf9805a, S_42, 10
mf9805a, S_41, 11
mf9805a, dep, 11
mf9805a, DYN_10, 11
mf9805a, Fch_906, 11
mf9805a, PAR_905, 11
mf9805a, lon, 11
mf9805a, T_28, 11
mf9805a, time2, 11
mf9805a, ST_70, 11
mf9805a, T2_35, 11
mf9805a, time, 11
mf9805a, lat, 11
mf9805a, CA3_937, 11
mf9805b, S_42, 91
mf9805b, S_41, 90
mf9805b, dep, 91
mf9805b, DYN_10, 91
mf9805b, Fch_906, 91
mf9805b, PAR_905, 91
mf9805b, lon, 91
mf9805b, T_28, 91
mf9805b, time2, 91
mf9805b, ST_70, 91
mf9805b, T2_35, 91
mf9805b, time, 91
mf9805b, lat, 91
mf9805b, CA3_937, 91
mf9806, S_42, 48
mf9806, S_41, 48
mf9806, dep, 48
mf9806, Fch_906, 48
mf9806, PAR_905, 48
mf9806, lon, 48
mf9806, T_28, 48
mf9806, time2, 48
mf9806, T2_35, 48
mf9806, time, 48
mf9806, lat, 48
mf9806, CA3_937, 48
we9804d, S_42, 26
we9804d, S_41, 24
we9804d, dep, 29
we9804d, DYN_10, 27
we9804d, lon, 29
we9804d, T_28, 29
we9804d, time2, 29
we9804d, ST_70, 27
we9804d, T2_35, 29
we9804d, time, 29
we9804d, lat, 29
we9805a, S_42, 78
we9805a, S_41, 94
we9805a, dep, 94
we9805a, DYN_10, 95
we9805a, Fch_906, 95
we9805a, PAR_905, 36
we9805a, lon, 95
we9805a, T_28, 95
we9805a, time2, 95
we9805a, ST_70, 95
we9805a, T2_35, 91
we9805a, time, 95
we9805a, lat, 95
we9805a, Tr_904, 95
we9805a, pressure, 1
we9806b, S_42, 20
we9806b, S_41, 20
we9806b, dep, 20
we9806b, DYN_10, 20
we9806b, lon, 20
we9806b, T_28, 20
we9806b, time2, 20
we9806b, ST_70, 20
we9806b, T2_35, 20
we9806b, time, 20
we9806b, lat, 20
hx220, S_42, 271
hx220, S_41, 271
hx220, dep, 271
hx220, PAR_905, 271
hx220, lon, 271
hx220, T_28, 271
hx220, time2, 271
hx220, ST_70, 271
hx220, T2_35, 271
hx220, time, 271
hx220, lat, 271
hx222, S4_45, 291
hx222, S_41, 311
hx222, dep, 311
hx222, DYN_10, 311
hx222, Fch_906, 311
hx222, lon, 311
hx222, T_28, 311
hx222, time2, 311
hx222, ST_70, 311
hx222, PAR_916, 292
hx222, T2_35, 311
hx222, time, 311
hx222, lat, 311
